episode,reward_1,reward_2,reward_3,reward_4
1,-13.904739419977716,-145.08404190368648,-145.0790457290709,-126.98242442641445
2,-28.182800344668976,-140.04561940510092,-151.58847191763513,-122.53791255394492
3,-77.84316116454818,-146.695477042255,-140.2539668352281,-114.30924988022659
4,-97.42795337096732,-146.68877046538273,-126.58840894087359,-122.44947112623612
5,-76.86427291183605,-143.95450828474776,-146.95565027586758,-120.31887703816281
6,-137.61669273995557,-143.82459958849657,-131.71576164986993,-119.5959519946318
7,247.05370857827205,-149.05036983176666,-137.96128664821683,-119.49183065965522
8,-166.42981262017753,-147.4844242072125,-131.35589446453108,-134.50344580568319
9,-166.54292788082648,-148.65892528200612,-146.26142932040977,-181.000850019523
10,-157.41070022742463,-136.67725702552724,-168.62168573215553,-168.21916270674086
11,-182.717757350054,-174.127519704711,258.0963491357185,-167.3616857717781
12,-179.87019045584287,-179.19785461262805,235.6042294973629,-166.28902861389324
13,-148.14434426142083,-179.9981601961013,-110.1247409612995,-167.40013946759458
14,-165.52074096610136,-166.93076410466165,-78.11814551648087,-166.26948626043227
15,-126.53008748838688,-176.3295547464347,-122.55495137536909,-167.44450706075145
16,-136.48351536722123,-183.91994762616264,-167.17217649551384,-166.35249099773952
17,-178.5333484639854,-31.592510948029343,-168.11481732744483,-167.45266770059126
18,-185.15978658048073,-177.95043865765481,-168.2790854257779,-177.18749098212612
19,-161.0928338443278,-178.02189173182046,-165.67113372978565,251.4955165087191
20,-178.85778313690713,-178.01198335242609,-128.42834022419865,246.59777659907633
21,-135.40296463623656,-177.99778945750478,262.3681470632878,253.27073754268173
22,-165.76500053254517,-177.99840729744017,491.69342843164395,245.25259453953964
23,-178.68770082838637,-178.01657448247687,427.275128723453,-147.24046151151862
24,-176.11679520658896,-177.9593540480045,149.3027821419586,-104.83013166052379
25,-179.99612595807105,-178.02557353561812,494.0971156659319,-166.95870200313595
26,-179.01879029169442,-177.97602431729095,232.24224463797833,459.47876647785506
27,-178.98207540610042,-177.98814205843956,428.5020922379065,142.7929158686913
28,-178.98125943033324,-178.0284719612763,458.2574978893192,233.10811794560257
29,-178.04366412353914,-178.0204028975509,231.36504984236794,441.7124374563156
30,-177.99381856840472,-177.992063959534,244.61379325727904,225.06688652079242
