episode,reward_1,reward_2,reward_3,reward_4
31,-177.22467239175305,-175.93072254782942,510.94281469281464,216.77057465593475
32,-178.07263852052404,-177.13882151586165,212.67721305360772,227.8636423493387
33,-180.0318178254906,-183.00098341264177,136.75426483994522,231.57143766859122
34,-160.16977656961194,-179.9431921909172,462.07337930253493,500.9406259143585
35,-193.6885688808789,-181.99216837319256,499.2997833316092,457.4563483761651
36,-172.7183955111371,-178.02999287094877,484.4805831426852,276.85049148413304
37,-183.30591056025403,-177.98837348219763,250.1594176574759,244.8451142288388
38,-180.25626509565697,-177.98903607116637,458.0653938737826,269.05274720249423
39,-181.05750355402313,-157.26647029102134,488.1039934819406,-80.66801661975069
40,-180.32530802457893,-148.04434369799986,277.27100459911077,450.25765919649655
41,-181.404759731972,-135.4756797161915,507.23717179726316,241.6412420094767
42,-177.97585676290444,-167.4719276535583,229.82755144089143,279.7530132872274
43,-175.99663945826495,-175.40561621737828,268.13457415397744,237.52316493424271
44,-177.02433111986585,-153.51095245020485,281.32990589718855,-21.33803479796876
45,-177.15268197212876,-135.4831596490252,-54.340557780917464,498.6672253015171
46,-182.04610794429763,-127.31202337874863,217.02893860038188,492.0739005859059
47,-178.03068038030375,229.17253985466036,258.8643823157597,152.6545959442803
48,-181.0530379296245,-157.2879155011652,255.53245788758576,-63.32293604634975
49,-178.0604460062823,-94.91632176624123,490.97525446100184,267.81517686742023
50,-185.06255666823756,-151.76481287725176,418.58559830719116,282.5044655775086
51,-185.97876570162595,-161.75152065267417,240.65865303389157,448.44831905416436
52,-183.22398072950324,-165.44673160462236,231.03654249442872,224.26393924352743
53,-185.97296140671918,-169.14337916766016,447.0208362446657,486.14661661077207
54,-185.97187858564286,-159.16443678555538,411.6793509062831,244.33182975228218
55,-185.96337048363793,-134.5224295537052,-40.35873270931535,240.57636566040765
56,-177.8468374530679,-181.84191535062723,239.4139933266856,259.60524775584355
57,-181.1369387273606,-138.15346869259113,158.42219160804478,156.8683727863478
58,-177.97253194652524,-76.13698127913045,475.3462527804852,513.5825305453293
59,-185.04912536990008,-162.8920779933001,272.0880290499198,248.80751535295417
60,-183.52778151348753,-172.55348197785287,498.06514980184664,511.5255628849769
61,-178.5972531216819,-171.20054021432594,492.1744618559675,495.38128889819234
62,-183.5880221845253,-172.33877621061322,445.0764064174341,407.5510348080639
63,-164.21281344293243,-171.3401626868852,232.45891151483053,464.888031139928
64,-170.68733852412987,-175.47639472694394,279.1121129298711,466.242765071038
65,-154.73815619111932,-167.59643696526842,259.7024837452672,486.5642983540314
66,-166.25287223248966,-171.6127780517672,269.54922458162764,-43.483966795102106
67,-179.23779269014287,-172.88861578593884,257.91806453444065,237.3784038228332
68,-185.63949130425743,-169.53548552066036,486.2950968382147,439.6107629933222
69,-167.58175259449155,-147.12662545437456,276.27106422191946,233.31455712189006
70,-178.43248848690854,251.73665635936823,240.28767446667683,268.3994384611192
71,-179.2371996754846,435.50214294332625,257.5371208684422,249.42215629168433
72,-173.07518288756643,246.00865414261207,236.90212439818183,245.09069849139422
73,-180.4700877043507,228.19414587002692,245.33753325100685,459.04990482584304
74,-190.64629100139345,248.1489765689394,-18.280642661264437,241.8271336721804
75,-185.09509421436206,-57.44167399690795,239.5522894782733,239.61645608577217
76,-180.1337523287056,461.03681832089137,152.7233772983757,221.94815929140836
77,-203.90590498290993,248.57109188813598,196.2947383165181,473.7602651652051
78,-44.58999343972093,228.83210267754993,224.1859889460772,189.1957242218613
79,-127.29923745080238,423.5789577425487,269.7607030960518,228.42181236530897
80,-143.70129644804342,445.9628276413722,249.3428020017547,248.2843682553072
81,-158.78460535250846,452.59818996117923,264.019694472561,245.89714817344273
82,243.92061053222574,238.03898063458706,422.98219655891637,465.8784044598423
83,-163.64226079181674,279.0383455470815,251.21403918182122,443.9966871245891
84,-173.78202402828532,484.43541117024904,442.34917456107087,261.139409501292
85,-167.62787047088761,506.2812306492245,138.8330625439307,231.6971689974652
86,161.45653533384626,488.78307425703576,236.92178166821535,526.4855132277878
87,-152.34127171525338,514.511048938589,458.9476247143449,-43.14348587335945
88,518.4189175465509,143.45747423638025,160.29793998485025,257.2900368810103
89,266.8647850845574,235.13805983698873,203.00615535582176,412.03530144952606
90,274.1717681988356,249.78572092920453,270.77405974889064,243.65006385223128
91,-165.6442059515438,492.19504137891295,469.32314513686913,242.97948387230812
92,232.7923094195582,270.6703835124656,-44.58090272110874,418.6629527577418
93,-178.5138446695117,224.40287487566863,220.46732469340805,228.29994938974772
94,-193.11382417859195,220.75707870420393,441.03190062139817,457.0955171195741
95,-166.9338724653956,432.9576602839063,250.7377295296413,497.8027092344286
96,-98.57817331476363,163.48631355472105,464.69641761985224,285.82755971223554
97,514.4462539942452,270.77186359390555,515.8948539971661,465.6294852041575
98,486.08779164577743,217.8805479704959,242.9951554109985,256.7580811338665
99,477.56750340054333,246.4351982446656,442.82125564774367,166.0333287019253
100,498.3290456345791,501.30896290456303,509.32554498209583,256.02623065677363
